album_id	name	billboard	artists	popularity	total_tracks	album_type	image_url
5n1GSzC1Reao29ScnpLYqp	Dying To Live	Dying To Live	{'46SHBwWsqBkxI7EeeBEQG7': 'Kodak Black'}	83	16	album	https://i.scdn.co/image/db2133234d458f432ca207e163a801524a15f993
6UYZEYjpN1DYRW0kqFy9ZE	Championships	Championships	{'20sxb77xiYeusSH8cVdatc': 'Meek Mill'}	85	19	album	https://i.scdn.co/image/77eb7c17cafe5503c5866117e0a3e5fc94620101
7uVimUILdzSZG4KKKWToq0	Christmas (Deluxe Special Edition)	Christmas	{'1GxkXlMwML1oSg5eLPiAz3': 'Michael Bublé'}	60	20	album	https://i.scdn.co/image/2d6ee8d4fb5a45abf35cd3c05550f251f50538a6
35s58BRTGAEWztPo9WqCIs	Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)	Spider-Man: Into The Spider-Verse	{'0LyfQWJT6nXafLPZqxe9Of': 'Various Artists'}	92	13	compilation	https://i.scdn.co/image/3aa37254a41cf96e81572524ec523cb870f2bb89
41GuZcammIkupMPKH2OJ6I	ASTROWORLD	ASTROWORLD	{'0Y5tJX1MQlPlqiwlOH1tJY': 'Travis Scott'}	91	17	album	https://i.scdn.co/image/cdca7dc20c778ada42fb18506ea1f26857f01d17
6thZNGX8hUVSjUrqJgPB9b	Christmas Is Here!	Christmas Is Here!	{'26AHtbjWKiwYzsoGoUZq53': 'Pentatonix'}	51	12	album	https://i.scdn.co/image/d95f2279ad49512299646dadf9e3e11c09c94c5e
6i6folBtxKV28WX3msQ4FE	Bohemian Rhapsody (The Original Soundtrack)	Bohemian Rhapsody (Soundtrack)	{'1dfeR4HaWDbWqFHLkxsg1d': 'Queen'}	84	22	album	https://i.scdn.co/image/c2c46becdf1164171dfde486f2694397c5352f95
1ATL5GLyefJaxhQzSPVrLX	Scorpion	Scorpion	{'3TVXtAsR1Inumwj472S9r4': 'Drake'}	92	25	album	https://i.scdn.co/image/542d705154be4049fc927050d006987e63739bbd
7ayBZIe1FHkNv0T5xFCX6F	The Greatest Showman (Original Motion Picture Soundtrack)	The Greatest Showman	{'0LyfQWJT6nXafLPZqxe9Of': 'Various Artists'}	86	11	compilation	https://i.scdn.co/image/32dbd227fc8cc94fb7ec9ab5bddc8e9ca72db125
42eusslaYHJvhxttuMbwj9	Springsteen on Broadway	Springsteen On Broadway	{'3eqjTLE0HfPfh78zjh6TqT': 'Bruce Springsteen'}	59	35	album	https://i.scdn.co/image/77eb7c17cafe5503a635669a75c4d38e58b07668
6trNtQUgC8cgbWcqoMYkOR	beerbongs & bentleys	beerbongs & bentleys	{'246dkjvS1zLTtiykXe5h60': 'Post Malone'}	95	18	album	https://i.scdn.co/image/77eb7c17cafe5503142eccafbd4305f6d4325832
3oXvzShPN8iY2P1UYl3WVJ	A Pentatonix Christmas	A Pentatonix Christmas	{'26AHtbjWKiwYzsoGoUZq53': 'Pentatonix'}	61	11	album	https://i.scdn.co/image/974438f01ded7d031d3cc72b42eb7ef66d91ab7f
61ulfFSmmxMhc2wCdmdMkN	Merry Christmas	Merry Christmas	{'4iHNK0tOyZPYnBU7nGAgpQ': 'Mariah Carey'}	61	10	album	https://i.scdn.co/image/e06f3ddadf59ee24504fc02bfe205945807a2437
6vBGI5522jvPi0ZZuGQNp4	The Christmas Song (Expanded Edition)	The Christmas Song	{'7v4imS0moSyGdXyLgVTIV7': 'Nat King Cole'}	51	19	album	https://i.scdn.co/image/b2a8529496ffd10f5cf1b3b0dd5da954f21bf9d3
1qsQOC4Jn0fnaUZLAbs4dz	SKINS	Skins	{'15UsOTVnJzReFVN1VCnxy4': 'XXXTENTACION'}	79	10	album	https://i.scdn.co/image/cc8658d17dd767d98455296c216b8e305836e9a9
68xKnVblFsSQ48CtgZT0oY	love (Deluxe Edition)	Love	{'1GxkXlMwML1oSg5eLPiAz3': 'Michael Bublé'}	73	13	album	https://i.scdn.co/image/faae06ad0d0d0219c7b946d791479bda378bc1b2
4f8pX9Vjs9uU5aKjqDNcDO	DUMMY BOY	DUMMY BOY	{'7gZfnEnfiaHzxARJ2LeXrf': '6ix9ine'}	85	13	album	https://i.scdn.co/image/1a5ead98d8ddc5a350ee5bf600decddc5bdcc0bc
4iF44RCCybJtkBkMoqrLW2	Street Gossip	Street Gossip	{'5f7VJjfbwm532GiveGC0ZK': 'Lil Baby'}	78	13	album	https://i.scdn.co/image/a98a3fd6253087973c040f3c47473d4c1e17d898
2kzkwgOFAtRsDsas5Hi0Qu	A Christmas Gift For You From Phil Spector	A Christmas Gift For You From Phil Spector	{'0LyfQWJT6nXafLPZqxe9Of': 'Various Artists'}	48	13	compilation	https://i.scdn.co/image/df9902b4e29a085db5b3fb511c1e2c78ffe60831
6tkjU4Umpo79wwkgPMV3nZ	Goodbye & Good Riddance	Goodbye & Good Riddance	{'4MCBfE4596Uoi2O4DtmEMz': 'Juice WRLD'}	90	17	album	https://i.scdn.co/image/0653b51eb20f46816c1f525da6e0696a6e7262ad
3tx8gQqWbGwqIGZHqDNrGe	Sweetener	Sweetener	{'66CXWjxzNUsdJxJ2JdwvnR': 'Ariana Grande'}	89	15	album	https://i.scdn.co/image/381891c42f301e0abaa1b1dcfbf0390334e698eb
7gmak9ZGm10y4PtZa9SBQn	Ultimate Sinatra	Ultimate Christmas	{'1Mxqyy3pSjf8kZZL4QVxS0': 'Frank Sinatra'}	71	26	album	https://i.scdn.co/image/d16c80c46e1dd33ddec71e76fa63a9bc78dafe08
6pmoTLfsPpn0wisT3YFJSN	Look Up Child	Look Up Child	{'40LHVA5BTQp9RxHOQ9JPYj': 'Lauren Daigle'}	80	13	album	https://i.scdn.co/image/8da5c5be0a7267dc078fe0e08e75f070077cd840
4KdtEKjY3Gi0mKiSdy96ML	Invasion of Privacy	Invasion Of Privacy	{'4kYSro6naA4h99UJvo89HB': 'Cardi B'}	87	13	album	https://i.scdn.co/image/10c890602bb0c5e2076e29d10c1d3c4addaa152f
5xqQtdlJUY7Fg4BMp13LrX	Evil Genius	Evil Genius	{'13y7CgLHjMVRMDqxdx0Xdo': 'Gucci Mane'}	73	18	album	https://i.scdn.co/image/77eb7c17cafe550306e6b93baeecab39436608b0
1lhNch5NkOONvFhRPh8qaj	This One's for You	This One's For You	{'718COspgdWOnwOFpJHRZHS': 'Luke Combs'}	81	12	album	https://i.scdn.co/image/ba466926aa9c36079ab3e3ec3dd26c983c01908b
4rBIMMvhMZMa3Q0X4LRYQi	The Classic Christmas Album	The Classic Christmas Album	{'5v8jlSmAQfrkTjAlpUfWtu': 'Perry Como'}	29	14	album	https://i.scdn.co/image/63a3e2bce221b806764f376520a895570cb0b4d8
3JfSxDfmwS5OeHPwLSkrfr	Origins (Deluxe)	Origins	{'53XhwfbYqKCa1cC15pYq2q': 'Imagine Dragons'}	88	15	album	https://i.scdn.co/image/6ac2ed0481154149e2ca501b5dcbe3c1ac937c43
50yFYgKdwJANZ5O9MIbMkg	Tha Carter V	Tha Carter V	{'55Aa2cqylxrFIXC767Z865': 'Lil Wayne'}	81	23	album	https://i.scdn.co/image/15f95fb58aab0ef346f5241283f8ae955ff1226e
2Ti79nwTsont5ZHfdxIzAm	?	?	{'15UsOTVnJzReFVN1VCnxy4': 'XXXTENTACION'}	92	18	album	https://i.scdn.co/image/2e70e7b198acc3bb03aaba9424c5fb23fb38c536
1V0QZHpLMJd9b4EBLAarX1	The Classic Christmas Album	Classic Christmas Album	{'4sj6D0zlMOl25nprDJBiU9': 'Andy Williams'}	27	16	album	https://i.scdn.co/image/924eb6c657e015213d08400549201fb698123bdd
